UNIX Time,Temperature,Stuff 1,Stuff 2
1593234537,280.76,,
1593234538,277.34,,
1593234539,281.77,,
1593234540,281.83,,
1593234541,283.85,,
1593234542,275.80,,
1593234543,282.24,,
1593234544,281.44,,
1593234545,281.53,,
1593234546,281.53,,
1593234547,273.72,,
1593234548,278.17,,
1593234549,285.87,,
1593234550,275.71,,
1593234551,285.63,,
1593234552,281.29,,
1593234553,285.87,,
1593234554,277.16,,
1593234555,283.97,,
1593234556,280.37,,
1593234557,285.87,,
1593234558,277.73,,
1593234559,282.45,,
1593234560,275.56,,
1593234561,283.40,,
1593234562,276.42,,
1593234563,282.78,,
1593234564,276.27,,
1593234565,284.71,,
1593234566,283.88,,
